Striped Warp Reduction (3x physical cores occupied),41-44,3d_27pt,128,64,64,524288,Dot,vanilla_version
0.041664
0.034816
0.034816
0.03472
0.034816
0.034816
0.034816
0.034816
0.034816
0.034816
